,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year,Performance
0,Mohamed Salah,Midfielder,Liverpool,38,3374,15,40,136,55,476.0,0,18,0,344,0,0,29,14.5,2025,278.0
1,Mohamed Salah,Midfielder,Liverpool,28,2531,8,30,0,24,346.0,0,12,0,211,0,0,18,14.5,2024,124.0
2,Mohamed Salah,Midfielder,Liverpool,37,3290,13,45,0,23,365.6,0,13,0,239,0,0,19,14.5,2023,123.0
3,Bryan Mbeumo,Midfielder,Man Utd,38,3415,9,55,273,29,340.8,0,9,0,236,0,0,20,8.0,2025,130.0
4,Bryan Mbeumo,Midfielder,Man Utd,22,1957,5,31,0,12,170.1,0,7,0,127,0,0,9,8.0,2024,44.0
5,Bryan Mbeumo,Midfielder,Man Utd,36,2905,10,39,0,19,239.5,0,9,0,150,0,0,9,8.0,2023,83.0
6,Cole Palmer,Midfielder,Chelsea,36,3193,10,41,171,35,338.0,0,10,0,214,0,0,15,10.5,2025,162.0
7,Cole Palmer,Midfielder,Chelsea,29,2617,7,46,0,32,327.8,0,13,0,244,0,0,22,10.5,2024,121.0
8,Cole Palmer,Midfielder,Chelsea,2,358,1,4,0,0,31.9,0,1,0,19,0,0,0,10.5,2023,3.0
9,Alexander Isak,Forward,Newcastle,34,2758,12,41,89,36,292.7,0,6,0,211,0,0,23,10.5,2025,164.0
10,Alexander Isak,Forward,Newcastle,27,2253,7,41,0,23,229.3,0,4,0,172,0,0,21,10.5,2024,82.0
11,Alexander Isak,Forward,Newcastle,17,1520,4,20,0,18,145.2,0,2,0,100,0,0,10,10.5,2023,69.0
12,Chris Wood,Forward,Nott'm Forest,35,2958,15,37,96,41,205.6,0,3,0,200,0,0,20,7.5,2025,193.0
13,Chris Wood,Forward,Nott'm Forest,20,1801,2,34,0,22,167.4,0,1,0,131,0,0,14,7.5,2024,54.0
14,Chris Wood,Forward,Nott'm Forest,9,807,4,9,0,7,39.3,0,0,0,53,0,0,3,7.5,2023,36.0
15,Jarrod Bowen,Forward,West Ham,34,2974,8,50,211,21,271.9,0,11,0,193,0,0,13,8.0,2025,92.0
16,Jarrod Bowen,Forward,West Ham,34,3020,5,63,0,14,247.8,0,6,0,182,0,0,16,8.0,2024,9.0
17,Jarrod Bowen,Forward,West Ham,36,3232,9,50,0,9,241.8,0,9,0,145,0,0,6,8.0,2023,27.0
18,Ollie Watkins,Forward,Aston Villa,31,2593,10,40,78,32,223.8,0,8,0,186,0,0,16,9.0,2025,135.0
19,Ollie Watkins,Forward,Aston Villa,37,3222,7,56,0,29,302.8,0,18,0,228,0,0,19,9.0,2024,98.0
20,Ollie Watkins,Forward,Aston Villa,36,3129,13,40,0,25,256.7,0,8,0,175,0,0,15,9.0,2023,121.0
21,Yoane Wissa,Forward,Brentford,34,2921,9,45,138,32,242.4,0,6,0,185,0,0,18,7.5,2025,130.0
22,Yoane Wissa,Forward,Brentford,29,2488,11,40,0,15,173.2,0,4,0,131,0,0,12,7.5,2024,65.0
23,Yoane Wissa,Forward,Brentford,16,1587,7,17,0,6,96.8,0,4,0,111,0,0,7,7.5,2023,51.0
24,Luis Díaz Marulanda,Midfielder,Liverpool,28,2393,15,21,158,21,246.4,0,7,0,183,0,0,13,8.0,2025,161.0
25,Luis Díaz Marulanda,Midfielder,Liverpool,32,2625,7,33,0,9,264.6,0,7,0,142,0,0,8,8.0,2024,47.0
26,Luis Díaz Marulanda,Midfielder,Liverpool,11,991,4,11,0,7,85.0,0,2,0,62,0,0,4,8.0,2023,38.0
27,Erling Haaland,Forward,Man City,31,2736,10,38,73,26,281.8,0,3,0,181,0,0,22,14.0,2025,123.0
28,Erling Haaland,Forward,Man City,29,2553,11,25,0,29,303.3,0,8,0,217,0,0,27,14.0,2024,166.0
29,Erling Haaland,Forward,Man City,33,2767,13,26,0,40,358.1,0,9,0,272,0,0,36,14.0,2023,223.0
30,Matheus Santos Carneiro da Cunha,Midfielder,Man Utd,29,2596,7,54,200,41,272.2,0,7,0,178,0,0,15,8.0,2025,131.0
31,Matheus Santos Carneiro da Cunha,Midfielder,Man Utd,29,2438,6,46,0,15,206.4,0,7,0,135,0,0,12,8.0,2024,36.0
32,Matheus Santos Carneiro da Cunha,Midfielder,Man Utd,12,961,5,12,0,6,45.1,0,0,0,39,0,0,2,8.0,2023,30.0
33,Bruno Borges Fernandes,Midfielder,Man Utd,35,3017,10,47,359,28,300.8,0,12,0,174,2,0,8,9.0,2025,126.0
34,Bruno Borges Fernandes,Midfielder,Man Utd,35,3118,7,52,0,24,351.3,0,9,0,166,0,0,10,9.0,2024,66.0
35,Bruno Borges Fernandes,Midfielder,Man Utd,37,3317,18,39,0,23,359.3,0,9,0,176,0,0,8,9.0,2023,134.0
36,Antoine Semenyo,Midfielder,Bournemouth,36,3202,11,41,267,14,267.8,0,7,0,165,0,0,11,7.0,2025,100.0
37,Antoine Semenyo,Midfielder,Bournemouth,25,2099,8,33,0,14,166.8,0,4,0,107,0,0,8,7.0,2024,53.0
38,Antoine Semenyo,Midfielder,Bournemouth,2,250,0,6,0,1,10.7,0,0,0,18,0,0,1,7.0,2023,-4.0
39,Morgan Rogers,Midfielder,Aston Villa,37,3115,10,40,193,15,214.3,0,11,0,161,0,0,8,7.0,2025,93.0
40,Morgan Rogers,Midfielder,Aston Villa,8,636,2,13,0,0,44.5,0,1,0,35,0,0,3,7.0,2024,-4.0
41,Jacob Murphy,Midfielder,Newcastle,31,2356,11,31,168,11,185.6,0,13,0,159,0,0,8,6.5,2025,94.0
42,Jacob Murphy,Midfielder,Newcastle,14,1184,5,21,0,4,110.0,0,8,0,82,0,0,3,6.5,2024,22.0
43,Jacob Murphy,Midfielder,Newcastle,14,1230,3,12,0,2,98.9,0,2,0,78,0,0,4,6.5,2023,21.0
44,Justin Kluivert,Midfielder,Bournemouth,29,2339,13,29,138,14,212.0,0,6,0,158,0,0,12,7.0,2025,109.0
45,Justin Kluivert,Midfielder,Bournemouth,26,1910,11,23,0,2,126.4,0,1,0,100,0,0,7,7.0,2024,42.0
46,Jordan Pickford,Goalkeeper,Everton,38,3420,12,44,0,15,107.0,122,1,2,158,0,0,0,5.5,2025,191.0
47,Jordan Pickford,Goalkeeper,Everton,38,3420,13,51,0,22,101.3,121,0,0,153,0,1,0,5.5,2024,183.0
48,Jordan Pickford,Goalkeeper,Everton,37,3330,8,57,0,10,102.0,124,1,1,124,0,0,0,5.5,2023,126.0
49,Alex Iwobi,Midfielder,Fulham,35,2981,6,45,227,16,243.0,0,6,0,156,0,0,9,6.5,2025,68.0
50,Alex Iwobi,Midfielder,Fulham,27,2331,7,41,0,9,175.9,0,2,0,102,0,0,5,6.5,2024,15.0
51,Alex Iwobi,Midfielder,Fulham,38,3379,9,56,0,9,201.3,0,8,0,126,0,0,2,6.5,2023,9.0
52,Morgan Gibbs-White,Midfielder,Nott'm Forest,34,2806,13,34,227,18,210.6,0,11,0,154,1,0,7,7.5,2025,119.0
53,Morgan Gibbs-White,Midfielder,Nott'm Forest,35,3156,5,59,0,13,235.6,0,12,0,142,0,0,5,7.5,2024,6.0
54,Morgan Gibbs-White,Midfielder,Nott'm Forest,36,3151,8,61,0,11,221.8,0,12,0,145,0,0,5,7.5,2023,8.0
55,Joško Gvardiol,Defender,Man City,36,3278,13,41,233,15,185.0,0,0,0,153,0,0,5,6.0,2025,93.0
56,Joško Gvardiol,Defender,Man City,26,2327,9,23,0,12,129.7,0,2,0,123,0,0,4,6.0,2024,69.0
57,Anthony Elanga,Midfielder,Newcastle,31,2496,12,35,135,15,199.8,0,11,0,153,0,0,6,7.0,2025,96.0
58,Anthony Elanga,Midfielder,Newcastle,25,2424,2,47,0,5,159.2,0,9,0,119,0,0,5,7.0,2024,-19.0
59,Anthony Elanga,Midfielder,Newcastle,5,417,2,2,0,0,28.7,0,1,0,23,0,0,0,7.0,2023,12.0
60,Leandro Trossard,Midfielder,Arsenal,28,2546,11,27,158,18,202.1,0,8,0,152,1,0,8,7.0,2025,113.0
61,Leandro Trossard,Midfielder,Arsenal,18,1633,12,10,0,11,169.5,0,2,0,138,0,0,12,7.0,2024,107.0
62,Leandro Trossard,Midfielder,Arsenal,26,2237,8,38,0,8,225.2,0,13,0,154,0,0,8,7.0,2023,41.0
63,Jean-Philippe Mateta,Forward,Crystal Palace,33,2642,9,37,114,27,187.3,0,2,0,150,0,0,14,7.5,2025,114.0
64,Jean-Philippe Mateta,Forward,Crystal Palace,25,2274,8,44,0,22,191.9,0,7,0,165,0,0,16,7.5,2024,74.0
65,Jean-Philippe Mateta,Forward,Crystal Palace,6,748,3,10,0,3,42.5,0,0,0,41,0,0,2,7.5,2023,15.0
66,Matz Sels,Goalkeeper,Nott'm Forest,38,3420,13,46,0,11,96.7,120,1,0,150,0,0,0,5.0,2025,164.0
67,Matz Sels,Goalkeeper,Nott'm Forest,16,1440,1,27,0,1,30.3,37,0,0,34,0,0,0,5.0,2024,8.0
68,Kevin Schade,Midfielder,Brentford,26,2281,10,34,161,12,183.3,0,4,0,149,0,0,11,7.0,2025,79.0
69,Kevin Schade,Midfielder,Brentford,3,327,1,5,0,2,26.2,0,2,0,33,0,0,2,7.0,2024,11.0
70,Kevin Schade,Midfielder,Brentford,7,723,3,7,0,0,39.8,0,1,0,29,0,0,0,7.0,2023,10.0
71,Ismaïla Sarr,Midfielder,Crystal Palace,30,2708,10,39,190,14,215.9,0,7,0,149,0,0,8,6.5,2025,82.0
72,Eberechi Eze,Midfielder,Crystal Palace,31,2588,10,34,204,15,222.4,0,8,0,148,0,0,8,7.5,2025,96.0
73,Eberechi Eze,Midfielder,Crystal Palace,24,2054,8,28,0,11,228.7,0,5,0,136,0,0,11,7.5,2024,61.0
74,Eberechi Eze,Midfielder,Crystal Palace,30,2631,9,35,0,21,217.0,0,5,0,159,0,0,10,7.5,2023,88.0
75,Raúl Jiménez Rodríguez,Forward,Fulham,30,2486,7,37,153,26,199.7,0,3,0,147,0,0,12,6.5,2025,104.0
76,Raúl Jiménez Rodríguez,Forward,Fulham,18,1390,4,29,0,13,95.1,0,0,0,72,1,0,7,6.5,2024,21.0
77,Raúl Jiménez Rodríguez,Forward,Fulham,8,839,2,18,0,0,46.7,0,2,0,29,0,0,0,6.5,2023,-14.0
78,Mitoma Kaoru,Midfielder,Brighton,28,2597,6,40,168,12,210.7,0,5,0,145,0,0,10,6.5,2025,54.0
79,Mitoma Kaoru,Midfielder,Brighton,15,1485,1,27,0,7,134.0,0,7,0,74,0,0,3,6.5,2024,5.0
80,Mitoma Kaoru,Midfielder,Brighton,24,2311,8,35,0,11,200.4,0,9,0,138,0,0,7,6.5,2023,50.0
81,Nikola Milenković,Defender,Nott'm Forest,37,3330,13,45,310,2,127.2,0,2,0,145,0,0,5,5.5,2025,55.0
82,Jørgen Strand Larsen,Forward,Wolves,30,2587,7,52,91,17,179.5,0,4,0,145,0,0,14,6.5,2025,44.0
83,Virgil van Dijk,Defender,Liverpool,37,3330,14,38,300,8,143.7,0,1,0,143,0,0,3,6.0,2025,87.0
84,Virgil van Dijk,Defender,Liverpool,36,3177,9,40,0,8,153.8,0,2,0,117,1,0,2,6.0,2024,24.0
85,Virgil van Dijk,Defender,Liverpool,32,2835,11,36,0,13,125.4,0,1,0,127,0,0,3,6.0,2023,57.0
86,Dominik Szoboszlai,Midfielder,Liverpool,29,2485,12,29,199,14,198.1,0,10,0,143,0,0,6,6.5,2025,109.0
87,Dominik Szoboszlai,Midfielder,Liverpool,25,2102,8,23,0,7,162.8,0,4,0,99,0,0,3,6.5,2024,47.0
88,David Raya Martín,Goalkeeper,Arsenal,38,3420,13,34,0,10,76.7,86,0,0,142,0,0,0,5.5,2025,149.0
89,David Raya Martín,Goalkeeper,Arsenal,32,2880,16,24,0,6,41.1,46,0,1,135,0,0,0,5.5,2024,129.0
90,David Raya Martín,Goalkeeper,Arsenal,38,3420,12,46,0,20,117.3,154,0,0,166,0,1,0,5.5,2023,217.0
91,Daniel Muñoz Mejía,Defender,Crystal Palace,37,3229,11,46,267,9,197.6,0,6,0,142,0,0,4,5.5,2025,64.0
92,Daniel Muñoz Mejía,Defender,Crystal Palace,16,1440,5,22,0,3,71.7,0,4,0,56,0,0,0,5.5,2024,10.0
93,Brennan Johnson,Midfielder,Spurs,24,2171,2,38,119,13,161.0,0,6,0,137,0,0,11,7.0,2025,37.0
94,Brennan Johnson,Midfielder,Spurs,26,2317,5,42,0,9,196.3,0,12,0,131,0,0,5,7.0,2024,18.0
95,Brennan Johnson,Midfielder,Spurs,33,2930,7,54,0,15,158.1,0,5,0,122,0,0,8,7.0,2023,21.0
96,Enzo Fernández,Midfielder,Chelsea,32,2943,10,37,261,11,241.3,0,8,0,135,0,0,6,6.5,2025,84.0
97,Enzo Fernández,Midfielder,Chelsea,26,2208,5,47,0,4,146.3,0,3,0,77,0,0,3,6.5,2024,-25.0
98,Enzo Fernández,Midfielder,Chelsea,18,1547,3,25,0,1,72.6,0,2,0,42,0,0,0,6.5,2023,-13.0
99,Dean Henderson,Goalkeeper,Crystal Palace,38,3420,11,51,0,8,88.6,104,0,1,135,0,0,0,5.0,2025,125.0
100,Dean Henderson,Goalkeeper,Crystal Palace,18,1620,4,30,0,2,43.7,58,0,0,48,0,2,0,5.0,2024,31.0
101,Dean Henderson,Goalkeeper,Crystal Palace,18,1620,6,31,0,12,47.5,54,0,2,82,0,0,0,5.0,2023,89.0
102,Bruno Guimarães Rodriguez Moura,Midfielder,Newcastle,38,3273,13,44,350,10,197.5,0,6,0,135,0,0,5,6.5,2025,88.0
103,Bruno Guimarães Rodriguez Moura,Midfielder,Newcastle,37,3264,10,60,0,15,241.0,0,9,0,153,0,0,7,6.5,2024,31.0
104,Bruno Guimarães Rodriguez Moura,Midfielder,Newcastle,32,2727,12,25,0,5,156.6,0,5,0,107,0,0,4,6.5,2023,62.0
105,Milos Kerkez,Defender,Liverpool,38,3336,9,45,207,10,157.3,0,6,0,134,0,0,2,6.0,2025,53.0
106,Milos Kerkez,Defender,Liverpool,22,1966,6,37,0,1,67.7,0,2,0,59,1,1,0,6.0,2024,-29.0
107,Marc Cucurella Saseta,Defender,Chelsea,33,2988,9,38,191,14,137.9,0,2,0,133,1,0,5,6.0,2025,68.0
108,Marc Cucurella Saseta,Defender,Chelsea,20,1783,4,33,0,3,79.3,0,3,0,44,0,1,0,6.0,2024,-20.0
109,Marc Cucurella Saseta,Defender,Chelsea,21,1669,6,20,0,1,65.9,0,2,0,65,0,0,0,6.0,2023,13.0
110,James Maddison,Midfielder,Spurs,21,1799,6,32,140,15,187.8,0,8,0,133,0,0,9,7.0,2025,69.0
111,James Maddison,Midfielder,Spurs,26,2137,7,31,0,9,221.4,0,11,0,117,0,0,4,7.0,2024,43.0
112,James Maddison,Midfielder,Spurs,28,2479,4,54,0,9,259.7,0,9,0,135,0,0,10,7.0,2023,-5.0
113,Liam Delap,Forward,Chelsea,32,2587,3,58,109,22,157.5,0,2,0,132,0,0,12,6.5,2025,28.0
114,Mikkel Damsgaard,Midfielder,Brentford,34,2911,11,41,321,10,205.9,0,10,0,131,0,0,2,6.0,2025,80.0
115,Mikkel Damsgaard,Midfielder,Brentford,7,829,5,9,0,0,44.7,0,4,0,45,0,0,0,6.0,2024,19.0
116,Mikkel Damsgaard,Midfielder,Brentford,9,970,3,14,0,0,46.5,0,0,0,33,0,0,0,6.0,2023,-3.0
117,William Saliba,Defender,Arsenal,35,3039,12,29,216,14,94.2,0,0,0,130,1,0,2,6.0,2025,95.0
118,William Saliba,Defender,Arsenal,38,3420,18,29,0,13,99.1,0,1,0,164,0,0,2,6.0,2024,108.0
119,William Saliba,Defender,Arsenal,27,2415,12,25,0,14,74.5,0,1,0,117,0,1,2,6.0,2023,75.0
120,Harvey Barnes,Midfielder,Newcastle,17,1746,6,23,90,13,163.1,0,5,0,130,0,0,9,6.5,2025,72.0
121,Harvey Barnes,Midfielder,Newcastle,7,788,2,10,0,3,79.5,0,3,0,64,0,0,5,6.5,2024,20.0
122,Harvey Barnes,Midfielder,Newcastle,32,2709,6,51,0,0,187.7,0,2,0,138,0,0,13,6.5,2023,-20.0
123,Murillo Costa dos Santos,Defender,Nott'm Forest,36,3188,12,44,376,18,134.0,0,0,0,130,0,0,2,5.5,2025,100.0
124,Murillo Costa dos Santos,Defender,Nott'm Forest,32,2790,3,56,0,1,95.8,0,2,0,58,0,1,0,5.5,2024,-65.0
125,Amad Diallo,Midfielder,Man Utd,20,1898,7,30,176,17,193.8,0,8,0,129,0,0,8,6.5,2025,86.0
126,Amad Diallo,Midfielder,Man Utd,3,385,1,6,0,3,35.2,0,1,0,23,0,0,1,6.5,2024,10.0
127,Francisco Evanilson de Lima Barbosa,Forward,Bournemouth,28,2317,11,30,107,20,174.8,0,5,0,128,1,0,10,7.0,2025,102.0
128,Ola Aina,Defender,Nott'm Forest,35,2996,12,39,206,15,94.1,0,1,0,128,0,0,2,5.0,2025,82.0
129,Ola Aina,Defender,Nott'm Forest,20,1690,2,39,0,2,54.4,0,1,0,45,0,0,1,5.0,2024,-40.0
130,Bukayo Saka,Midfielder,Arsenal,20,1724,7,21,108,18,227.9,0,11,0,127,0,0,6,10.0,2025,100.0
131,Bukayo Saka,Midfielder,Arsenal,35,2922,16,27,0,29,375.7,0,12,0,226,0,0,16,10.0,2024,181.0
132,Bukayo Saka,Midfielder,Arsenal,37,3183,12,42,0,19,333.4,0,12,0,202,0,0,14,10.0,2023,102.0
133,Declan Rice,Midfielder,Arsenal,33,2823,11,29,297,17,208.8,0,7,0,127,1,0,4,6.5,2025,116.0
134,Declan Rice,Midfielder,Arsenal,37,3225,17,28,0,17,215.9,0,9,0,165,0,0,7,6.5,2024,130.0
135,Declan Rice,Midfielder,Arsenal,36,3272,9,50,0,12,155.5,0,3,0,116,0,0,4,6.5,2023,25.0
136,Nathan Collins,Defender,Brentford,38,3420,8,57,351,11,149.6,0,7,0,127,0,0,2,5.0,2025,43.0
137,Nathan Collins,Defender,Brentford,29,2649,7,51,0,8,98.7,0,1,0,84,0,0,1,5.0,2024,-12.0
138,Nathan Collins,Defender,Brentford,19,1811,4,37,0,6,51.5,0,0,0,49,1,0,0,5.0,2023,-21.0
139,Cody Gakpo,Midfielder,Liverpool,23,1921,5,25,136,22,180.3,0,5,0,127,0,0,10,7.5,2025,98.0
140,Cody Gakpo,Midfielder,Liverpool,17,1633,5,20,0,12,157.1,0,5,0,106,0,0,8,7.5,2024,58.0
141,Cody Gakpo,Midfielder,Liverpool,17,1455,6,19,0,4,112.3,0,3,0,90,0,0,7,7.5,2023,33.0
142,Robert Lynch Sánchez,Goalkeeper,Chelsea,32,2880,10,34,0,11,77.5,95,0,1,126,0,0,0,5.0,2025,148.0
143,Robert Lynch Sánchez,Goalkeeper,Chelsea,16,1433,3,25,0,7,45.2,53,0,1,59,0,0,0,5.0,2024,63.0
144,Robert Lynch Sánchez,Goalkeeper,Chelsea,23,2070,6,30,0,10,43.9,48,0,1,82,0,0,0,5.0,2023,77.0
145,João Pedro Junqueira de Jesus,Forward,Chelsea,23,1946,6,28,96,26,166.0,0,6,0,126,1,0,10,7.5,2025,100.0
146,João Pedro Junqueira de Jesus,Forward,Chelsea,19,2037,5,38,0,12,213.4,0,3,0,104,0,0,9,7.5,2024,25.0
147,Tomáš Souček,Midfielder,West Ham,30,2563,7,44,234,15,154.0,0,2,0,126,0,0,9,6.0,2025,59.0
148,Tomáš Souček,Midfielder,West Ham,34,2867,5,64,0,9,150.3,0,2,0,116,0,0,7,6.0,2024,-30.0
149,Tomáš Souček,Midfielder,West Ham,32,2811,8,42,0,6,127.1,0,4,0,100,0,0,2,6.0,2023,11.0
150,Gabriel Martinelli Silva,Midfielder,Arsenal,25,2284,10,25,122,6,206.1,0,4,0,125,0,0,8,7.0,2025,70.0
151,Gabriel Martinelli Silva,Midfielder,Arsenal,24,2010,10,23,0,6,200.8,0,5,0,118,0,0,6,7.0,2024,57.0
152,Gabriel Martinelli Silva,Midfielder,Arsenal,34,2789,14,33,0,18,298.1,0,9,0,198,0,0,15,7.0,2023,119.0
153,Danny Welbeck,Forward,Brighton,24,2109,7,37,95,21,155.8,0,5,0,125,0,0,10,6.5,2025,77.0
154,Danny Welbeck,Forward,Brighton,21,1687,8,28,0,5,114.0,0,4,0,79,0,0,5,6.5,2024,26.0
155,Danny Welbeck,Forward,Brighton,21,1844,6,28,0,5,155.4,0,5,0,91,0,0,6,6.5,2023,23.0
156,Rayan Aït-Nouri,Defender,Man City,37,3112,7,67,187,13,191.0,0,7,0,125,1,0,4,6.0,2025,3.0
157,Rayan Aït-Nouri,Defender,Man City,29,2327,3,43,0,6,107.7,0,3,0,77,0,0,2,6.0,2024,-19.0
158,Rayan Aït-Nouri,Defender,Man City,9,1067,4,18,0,0,48.9,0,0,0,41,0,1,1,6.0,2023,-9.0
159,Anthony Gordon,Midfielder,Newcastle,28,2428,10,33,143,9,196.8,0,6,0,124,0,0,6,7.5,2025,66.0
160,Anthony Gordon,Midfielder,Newcastle,34,2896,12,48,0,14,256.7,0,16,0,183,1,0,11,7.5,2024,66.0
161,Anthony Gordon,Midfielder,Newcastle,16,1574,4,18,0,5,108.8,0,0,0,68,0,0,4,7.5,2023,23.0
162,Tyrick Mitchell,Defender,Crystal Palace,37,3090,12,46,217,4,136.2,0,6,0,123,0,0,0,5.0,2025,40.0
163,Tyrick Mitchell,Defender,Crystal Palace,37,3204,10,55,0,10,127.4,0,3,0,119,0,0,2,5.0,2024,10.0
164,Tyrick Mitchell,Defender,Crystal Palace,34,2889,8,40,0,7,89.0,0,2,0,93,1,0,0,5.0,2023,9.0
165,Alexis Mac Allister,Midfielder,Liverpool,30,2597,14,24,300,8,174.1,0,6,0,122,0,0,5,6.5,2025,113.0
166,Alexis Mac Allister,Midfielder,Liverpool,31,2600,6,34,0,12,166.2,0,5,0,109,1,0,5,6.5,2024,36.0
167,Alexis Mac Allister,Midfielder,Liverpool,31,2882,10,45,0,18,221.3,0,2,0,140,0,1,10,6.5,2023,56.0
168,Youri Tielemans,Midfielder,Aston Villa,35,3025,7,46,314,15,209.6,0,7,0,121,0,0,3,6.0,2025,67.0
