,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year,Performance
345,Jarrad Branthwaite,Defender,Everton,35,3116,12,44,0,10,104.3,0,1,0,124,0,0,3,5.5,2024,39.0
346,Jérémy Doku,Midfielder,Man City,16,1506,8,14,101,3,150.0,0,6,0,88,0,0,3,6.5,2025,57.0
347,Jérémy Doku,Midfielder,Man City,18,1585,1,19,0,13,203.9,0,10,0,98,0,0,3,6.5,2024,46.0
348,Noussair Mazraoui,Defender,Man Utd,34,2836,7,43,241,5,107.5,0,1,0,88,0,0,0,5.0,2025,20.0
349,Marcus Tavernier,Midfielder,Bournemouth,20,1932,4,29,179,4,155.4,0,7,0,87,0,0,3,5.5,2025,27.0
350,Marcus Tavernier,Midfielder,Bournemouth,25,2118,8,38,0,5,157.8,0,4,0,89,0,0,3,5.5,2024,10.0
351,Marcus Tavernier,Midfielder,Bournemouth,19,1740,5,37,0,12,124.2,0,4,0,94,0,0,5,5.5,2023,19.0
352,Jan Paul van Hecke,Defender,Brighton,33,2960,7,47,230,7,118.3,0,1,0,87,1,0,1,4.5,2025,14.0
353,Jan Paul van Hecke,Defender,Brighton,26,2368,5,38,0,3,98.5,0,0,0,61,0,0,0,4.5,2024,-16.0
355,Carlos Baleba,Midfielder,Brighton,31,2660,8,40,376,7,105.2,0,1,0,87,1,0,3,5.0,2025,46.0
356,Carlos Baleba,Midfielder,Brighton,15,1314,2,28,0,0,38.8,0,0,0,34,0,0,0,5.0,2024,-31.0
357,Norberto Bercique Gomes Betuncal,Forward,Everton,15,1521,4,24,84,11,119.5,0,0,0,87,0,0,8,5.5,2025,43.0
358,Norberto Bercique Gomes Betuncal,Forward,Everton,9,943,2,20,0,3,71.3,0,0,0,50,0,0,3,5.5,2024,-5.0
359,Curtis Jones,Midfielder,Liverpool,19,1702,6,27,160,4,113.6,0,5,0,87,1,0,3,5.5,2025,28.0
360,Curtis Jones,Midfielder,Liverpool,14,1156,2,19,0,2,57.0,0,1,0,40,1,0,1,5.5,2024,-11.0
361,Curtis Jones,Midfielder,Liverpool,12,1029,4,15,0,4,75.0,0,1,0,52,0,0,3,5.5,2023,18.0
362,João Victor Gomes da Silva,Midfielder,Wolves,35,2975,6,59,377,7,117.3,0,1,0,87,1,0,3,5.5,2025,3.0
363,João Victor Gomes da Silva,Midfielder,Wolves,32,2646,4,51,0,3,106.1,0,2,0,75,0,0,2,5.5,2024,-38.0
364,João Victor Gomes da Silva,Midfielder,Wolves,7,649,2,18,0,2,25.8,0,0,0,21,0,0,1,5.5,2023,-12.0
365,Rodrigo Muniz Carvalho,Forward,Fulham,8,943,2,17,45,14,95.4,0,1,0,86,0,0,8,5.5,2025,48.0
366,Rodrigo Muniz Carvalho,Forward,Fulham,18,1589,6,27,0,12,148.2,0,2,0,97,0,0,9,5.5,2024,44.0
367,Jadon Sancho,Midfielder,Man Utd,19,1754,7,24,121,3,127.5,0,5,0,86,0,0,3,6.0,2025,37.0
369,Jadon Sancho,Midfielder,Man Utd,21,1683,13,18,0,8,143.2,0,3,0,105,0,0,6,6.0,2023,78.0
370,Lewis Cook,Midfielder,Bournemouth,32,2976,5,44,386,3,144.9,0,4,0,82,1,0,1,5.0,2025,19.0
371,Lewis Cook,Midfielder,Bournemouth,32,2787,8,51,0,5,127.2,0,3,0,77,1,0,0,5.0,2024,-20.0
372,Lewis Cook,Midfielder,Bournemouth,18,1712,3,39,0,1,71.2,0,2,0,51,0,0,0,5.0,2023,-38.0
373,Maximilian Kilman,Defender,West Ham,38,3348,6,62,327,5,118.8,0,1,0,82,0,0,0,4.5,2025,-8.0
374,Maximilian Kilman,Defender,West Ham,38,3420,5,65,0,3,130.2,0,0,0,82,0,0,2,4.5,2024,-55.0
375,Maximilian Kilman,Defender,West Ham,37,3307,11,56,0,12,93.2,0,1,0,109,0,0,0,4.5,2023,14.0
376,Andreas Hoelgebaum Pereira,Midfielder,Fulham,25,2004,5,32,150,2,149.0,0,6,0,81,0,0,2,5.5,2025,15.0
377,Andreas Hoelgebaum Pereira,Midfielder,Fulham,34,2611,14,40,0,7,217.8,0,9,0,127,0,0,3,5.5,2024,50.0
378,Andreas Hoelgebaum Pereira,Midfielder,Fulham,33,2696,8,40,0,9,189.3,0,10,0,123,0,0,4,5.5,2023,34.0
379,Jack Harrison,Midfielder,Leeds,24,2068,7,27,148,4,108.6,0,3,0,81,0,0,1,5.5,2025,35.0
380,Jack Harrison,Midfielder,Leeds,25,2212,11,26,0,5,114.3,0,3,0,92,0,0,3,5.5,2024,45.0
381,Jack Harrison,Midfielder,Leeds,34,2707,6,55,0,15,192.0,0,8,0,134,0,1,5,5.5,2023,9.0
382,Matheus Nunes,Defender,Man City,19,1670,9,19,84,6,99.9,0,7,0,81,0,0,1,5.5,2025,58.0
383,Matheus Nunes,Defender,Man City,9,831,2,13,0,1,51.8,0,2,0,32,1,0,0,5.5,2024,-6.0
384,Matheus Nunes,Defender,Man City,30,2467,11,38,0,5,109.3,0,1,0,80,1,0,1,5.5,2023,14.0
385,Lucas Tolentino Coelho de Lima,Midfielder,West Ham,27,2374,4,50,271,5,132.6,0,1,0,80,0,0,4,6.0,2025,-4.0
386,Lucas Tolentino Coelho de Lima,Midfielder,West Ham,31,2627,4,52,0,7,163.7,0,6,0,100,0,0,4,6.0,2024,-19.0
387,Lucas Tolentino Coelho de Lima,Midfielder,West Ham,27,2154,6,39,0,8,145.4,0,5,0,98,0,0,4,6.0,2023,12.0
388,Toti Gomes,Defender,Wolves,30,2613,8,45,250,8,86.5,0,1,0,79,0,0,0,4.5,2025,27.0
389,Toti Gomes,Defender,Wolves,31,2771,4,49,0,6,83.7,0,4,0,82,0,0,1,4.5,2024,-22.0
390,Toti Gomes,Defender,Wolves,10,978,4,14,0,4,37.4,0,0,0,43,0,0,1,4.5,2023,15.0
391,John McGinn,Midfielder,Aston Villa,27,2217,8,34,163,1,103.7,0,4,0,78,0,0,1,5.5,2025,19.0
392,John McGinn,Midfielder,Aston Villa,35,3000,7,54,0,9,169.4,0,5,0,119,1,0,6,5.5,2024,-3.0
393,John McGinn,Midfielder,Aston Villa,30,2692,10,31,0,3,108.3,0,5,0,90,0,0,1,5.5,2023,30.0
394,Harry Wilson,Midfielder,Fulham,12,1148,2,21,92,6,107.8,0,2,0,78,0,0,6,5.5,2025,22.0
395,Harry Wilson,Midfielder,Fulham,16,1603,5,30,0,5,107.2,0,7,0,94,0,0,4,5.5,2024,13.0
396,Harry Wilson,Midfielder,Fulham,13,1085,2,15,0,2,57.7,0,5,0,68,0,0,2,5.5,2023,9.0
397,Rasmus Højlund,Forward,Man Utd,23,1998,6,31,46,8,86.3,0,1,0,78,0,0,4,6.5,2025,24.0
398,Rasmus Højlund,Forward,Man Utd,25,2156,6,35,0,14,147.0,0,2,0,112,0,0,10,6.5,2024,42.0
399,Matty Cash,Defender,Aston Villa,24,2069,7,22,145,2,71.3,0,1,0,76,0,0,1,4.5,2025,36.0
400,Matty Cash,Defender,Aston Villa,23,2138,3,36,0,4,107.1,0,2,0,64,0,1,2,4.5,2024,-20.0
401,Matty Cash,Defender,Aston Villa,20,1817,4,29,0,3,54.9,0,2,0,57,0,0,0,4.5,2023,-7.0
402,Ryan Christie,Midfielder,Bournemouth,27,2114,8,28,326,5,139.6,0,3,0,76,0,0,2,5.0,2025,59.0
403,Ryan Christie,Midfielder,Bournemouth,35,2908,8,56,0,5,175.4,0,5,0,90,0,0,0,5.0,2024,-20.0
404,Ryan Christie,Midfielder,Bournemouth,22,1825,3,35,0,2,111.1,0,2,0,64,0,0,1,5.0,2023,-23.0
405,Emerson Palmieri dos Santos,Defender,West Ham,26,2108,5,41,145,4,90.4,0,1,0,76,0,0,2,4.5,2025,-3.0
406,Emerson Palmieri dos Santos,Defender,West Ham,35,3138,5,67,0,8,121.8,0,4,0,82,0,1,1,4.5,2024,-49.0
407,Emerson Palmieri dos Santos,Defender,West Ham,16,1317,2,28,0,2,62.4,0,0,0,39,0,0,1,4.5,2023,-23.0
408,Facundo Buonanotte,Midfielder,Brighton,14,1508,2,33,162,6,114.7,0,2,0,75,0,0,5,5.0,2025,7.0
409,Facundo Buonanotte,Midfielder,Brighton,17,1356,6,19,0,1,78.4,0,1,0,57,0,0,3,5.0,2024,13.0
410,Facundo Buonanotte,Midfielder,Brighton,6,558,1,12,0,2,28.5,0,1,0,26,0,0,1,5.0,2023,-4.0
411,Matt Doherty,Defender,Wolves,25,2105,6,38,170,4,81.8,0,1,0,75,0,1,2,4.5,2025,4.0
412,Matt Doherty,Defender,Wolves,9,1136,1,21,0,1,52.9,0,0,0,41,0,0,1,4.5,2024,-18.0
413,Matt Doherty,Defender,Wolves,7,663,3,9,0,2,40.3,0,0,0,35,0,0,1,4.5,2023,12.0
414,Yasin Ayari,Midfielder,Brighton,22,1958,7,28,228,3,111.7,0,1,0,74,0,0,2,5.0,2025,35.0
416,Vitaly Janelt,Midfielder,Brentford,27,2251,6,38,229,2,77.2,0,3,0,73,0,2,1,5.0,2025,1.0
417,Vitaly Janelt,Midfielder,Brentford,37,3054,9,52,0,1,135.3,0,4,0,93,0,0,1,5.0,2024,-19.0
418,Vitaly Janelt,Midfielder,Brentford,24,2201,8,28,0,5,91.3,0,1,0,85,0,0,3,5.0,2023,26.0
419,Omar Marmoush,Midfielder,Man City,14,1174,8,12,60,12,97.3,0,1,0,73,0,0,7,8.5,2025,78.0
420,Kieran Trippier,Defender,Newcastle,14,1299,6,18,95,8,76.1,0,3,0,72,0,0,0,5.0,2025,45.0
421,Kieran Trippier,Defender,Newcastle,26,2235,6,43,0,20,185.2,0,10,0,111,0,0,1,5.0,2024,44.0
422,Kieran Trippier,Defender,Newcastle,38,3342,16,31,0,39,285.8,0,9,0,198,0,1,1,5.0,2023,180.0
423,Tosin Adarabioyo,Defender,Chelsea,15,1403,7,14,114,7,49.6,0,1,0,71,0,0,1,4.5,2025,56.0
424,Tosin Adarabioyo,Defender,Chelsea,18,1616,6,25,0,2,62.4,0,0,0,66,0,0,2,4.5,2024,5.0
425,Tosin Adarabioyo,Defender,Chelsea,23,2084,3,39,0,1,73.4,0,0,0,49,0,0,1,4.5,2023,-36.0
426,Pape Matar Sarr,Midfielder,Spurs,22,1901,2,38,228,4,87.2,0,2,0,71,0,0,3,5.0,2025,-1.0
427,Pape Matar Sarr,Midfielder,Spurs,27,2063,9,27,0,4,110.2,0,3,0,86,0,0,3,5.0,2024,30.0
428,Pape Matar Sarr,Midfielder,Spurs,2,211,0,11,0,0,8.6,0,1,0,14,0,0,0,5.0,2023,-17.0
429,Alphonse Areola,Goalkeeper,West Ham,25,2259,4,41,0,1,62.1,82,0,0,69,0,1,0,4.5,2025,44.0
430,Alphonse Areola,Goalkeeper,West Ham,31,2700,4,53,0,11,102.4,138,0,2,116,0,1,0,4.5,2024,128.0
432,Chris Richards,Defender,Crystal Palace,22,1921,7,31,193,2,69.6,0,1,0,68,1,0,1,4.5,2025,15.0
433,Chris Richards,Defender,Crystal Palace,23,2091,4,38,0,4,65.2,0,1,0,62,0,0,1,4.5,2024,-18.0
434,Chris Richards,Defender,Crystal Palace,4,443,1,11,0,0,13.2,0,0,0,13,0,0,0,4.5,2023,-12.0
435,Matthijs de Ligt,Defender,Man Utd,25,2119,4,36,175,3,91.5,0,0,0,68,0,0,2,5.0,2025,1.0
436,Lisandro Martínez,Defender,Man Utd,20,1751,6,27,134,5,73.8,0,1,0,68,0,0,2,5.0,2025,26.0
437,Lisandro Martínez,Defender,Man Utd,8,643,1,12,0,0,19.4,0,1,0,15,0,1,0,5.0,2024,-16.0
438,Lisandro Martínez,Defender,Man Utd,24,2113,9,33,0,6,76.7,0,0,0,81,0,0,1,5.0,2023,19.0
439,Will Hughes,Midfielder,Crystal Palace,24,2100,10,31,249,3,87.5,0,4,0,67,0,0,0,5.0,2025,44.0
440,Will Hughes,Midfielder,Crystal Palace,23,1886,8,38,0,2,72.3,0,2,0,61,0,0,0,5.0,2024,-10.0
441,Will Hughes,Midfielder,Crystal Palace,7,822,1,11,0,3,37.4,0,1,0,41,0,0,1,5.0,2023,6.0
442,Ryan Yates,Midfielder,Nott'm Forest,18,1901,6,27,242,3,85.4,0,2,0,67,0,0,2,5.0,2025,34.0
443,Ryan Yates,Midfielder,Nott'm Forest,21,1979,1,38,0,1,72.1,0,1,0,59,0,0,1,5.0,2024,-41.0
444,Ryan Yates,Midfielder,Nott'm Forest,21,1833,5,36,0,0,54.5,0,3,0,53,0,0,0,5.0,2023,-25.0
445,Ethan Nwaneri,Midfielder,Arsenal,11,882,4,4,53,4,83.0,0,2,0,66,0,0,4,5.5,2025,48.0
448,Jacob Ramsey,Midfielder,Aston Villa,19,1616,5,26,133,3,78.7,0,4,0,66,1,0,1,5.5,2025,14.0
449,Jacob Ramsey,Midfielder,Aston Villa,8,848,0,12,0,0,46.7,0,1,0,29,0,0,1,5.5,2024,-10.0
450,Jacob Ramsey,Midfielder,Aston Villa,31,2634,11,33,0,13,164.7,0,8,0,135,0,1,6,5.5,2023,67.0
451,Darwin Núñez Ribeiro,Forward,Liverpool,8,1113,2,21,77,6,81.2,0,3,0,66,0,0,5,6.5,2025,18.0
452,Darwin Núñez Ribeiro,Forward,Liverpool,22,2033,6,25,0,9,232.4,0,11,0,132,0,0,11,6.5,2024,59.0
453,Darwin Núñez Ribeiro,Forward,Liverpool,19,1684,7,22,0,8,186.0,0,5,0,100,1,0,9,6.5,2023,46.0
454,Rico Lewis,Defender,Man City,21,1888,5,27,90,1,65.0,0,2,0,66,1,0,1,5.0,2025,2.0
455,Rico Lewis,Defender,Man City,8,804,4,9,0,2,45.8,0,0,0,52,0,0,2,5.0,2024,20.0
456,Rico Lewis,Defender,Man City,10,900,2,8,0,0,36.3,0,0,0,29,0,0,0,5.0,2023,4.0
457,Guglielmo Vicario,Goalkeeper,Spurs,24,2160,4,37,0,2,58.5,68,0,0,66,0,0,0,5.0,2025,45.0
458,Guglielmo Vicario,Goalkeeper,Spurs,38,3420,7,61,0,9,97.4,110,0,0,112,0,0,0,5.0,2024,89.0
459,Amadou Onana,Midfielder,Aston Villa,20,1613,6,23,200,5,77.0,0,0,0,65,0,0,3,5.0,2025,39.0
460,Amadou Onana,Midfielder,Aston Villa,23,2085,5,38,0,5,89.5,0,0,0,66,0,0,2,5.0,2024,-11.0
461,Amadou Onana,Midfielder,Aston Villa,29,2486,9,37,0,2,96.0,0,3,0,77,0,0,1,5.0,2023,6.0
462,Jake O'Brien,Defender,Everton,17,1568,5,17,123,5,56.0,0,0,0,65,0,0,2,5.0,2025,38.0
463,Joshua Zirkzee,Forward,Man Utd,14,1385,3,24,89,6,78.0,0,2,0,64,0,0,3,6.0,2025,17.0
464,Pervis Estupiñán Tenorio,Defender,Brighton,26,2399,3,44,164,7,120.8,0,1,0,63,0,0,1,4.5,2025,-5.0
465,Pervis Estupiñán Tenorio,Defender,Brighton,15,1242,3,26,0,7,89.0,0,3,0,57,0,1,2,4.5,2024,0.0
466,Pervis Estupiñán Tenorio,Defender,Brighton,31,2674,10,43,0,15,162.5,0,7,0,128,0,0,1,4.5,2023,48.0
467,Sepp van den Berg,Defender,Brentford,29,2584,5,49,229,1,92.3,0,1,0,62,0,0,0,4.5,2025,-18.0
468,Gonçalo Manuel Ganchinho Guedes,Midfielder,Wolves,10,979,3,25,60,2,64.0,0,4,0,62,0,0,2,5.5,2025,-3.0
469,Gonçalo Manuel Ganchinho Guedes,Midfielder,Wolves,8,703,2,12,0,1,45.1,0,1,0,29,0,0,1,5.5,2023,-1.0
470,Manuel Akanji,Defender,Man City,23,2012,6,28,98,1,68.9,0,0,0,61,0,0,0,5.5,2025,8.0
471,Manuel Akanji,Defender,Man City,28,2512,11,23,0,8,97.4,0,0,0,112,1,0,2,5.5,2024,56.0
472,Manuel Akanji,Defender,Man City,24,2284,7,23,0,5,71.4,0,1,0,82,0,0,0,5.5,2023,30.0
473,André Trindade da Costa Neto,Midfielder,Wolves,31,2472,7,46,359,1,69.7,0,0,0,61,0,0,0,5.5,2025,6.0
474,Malo Gusto,Defender,Chelsea,19,1853,4,26,117,2,87.9,0,1,0,60,0,0,0,5.0,2025,8.0
475,Malo Gusto,Defender,Chelsea,19,1746,5,28,0,10,110.4,0,6,0,74,1,0,0,5.0,2024,21.0
476,Christopher Nkunku,Midfielder,Chelsea,9,904,2,16,59,5,77.1,0,2,0,60,0,0,3,6.0,2025,18.0
477,Christopher Nkunku,Midfielder,Chelsea,2,437,0,12,0,4,42.7,0,0,0,29,0,0,3,6.0,2024,-1.0
478,Simon Adingra,Midfielder,Sunderland,12,1081,2,23,84,0,80.9,0,3,0,60,0,0,2,5.5,2025,-7.0
479,Simon Adingra,Midfielder,Sunderland,25,2220,4,38,0,8,173.4,0,1,0,97,0,0,6,5.5,2024,5.0
480,Joël Veltman,Defender,Brighton,19,1694,6,24,131,7,48.1,0,0,0,59,0,0,0,4.5,2025,33.0
481,Joël Veltman,Defender,Brighton,17,1579,3,32,0,0,51.8,0,1,0,49,0,0,1,4.5,2024,-29.0
482,Joël Veltman,Defender,Brighton,25,2183,10,29,0,6,77.4,0,1,0,95,0,0,1,4.5,2023,34.0
483,Julio Enciso Espínola,Midfielder,Brighton,14,1155,2,22,79,5,87.7,0,3,0,59,0,0,2,5.5,2025,10.0
484,Julio Enciso Espínola,Midfielder,Brighton,5,468,0,12,0,0,36.9,0,2,0,20,0,0,0,5.5,2024,-15.0
485,Julio Enciso Espínola,Midfielder,Brighton,7,794,4,12,0,7,83.8,0,3,0,57,0,0,4,5.5,2023,34.0
486,Tyler Adams,Midfielder,Bournemouth,21,1959,6,30,276,1,75.9,0,3,0,58,0,0,0,5.0,2025,24.0
488,Tyler Adams,Midfielder,Bournemouth,24,2156,5,36,0,1,74.9,0,0,0,47,1,0,0,5.0,2023,-27.0
489,Jefferson Lerma Solís,Midfielder,Crystal Palace,26,2270,6,36,327,2,78.7,0,1,0,58,0,0,0,5.0,2025,21.0
490,Jefferson Lerma Solís,Midfielder,Crystal Palace,27,2399,5,46,0,4,102.4,0,1,0,64,0,0,1,5.0,2024,-27.0
491,Jefferson Lerma Solís,Midfielder,Crystal Palace,37,3252,7,67,0,5,122.7,0,0,0,101,0,1,5,5.0,2023,-47.0
492,Ian Maatsen,Defender,Aston Villa,10,1125,3,16,71,0,74.3,0,2,0,57,0,0,1,4.5,2025,8.0
493,Ian Maatsen,Defender,Aston Villa,1,200,0,5,0,0,10.3,0,0,0,11,0,0,0,4.5,2024,-7.0
494,Boubacar Kamara,Midfielder,Aston Villa,20,1720,6,22,210,3,60.2,0,0,0,57,0,0,1,5.0,2025,35.0
495,Boubacar Kamara,Midfielder,Aston Villa,20,1653,7,22,0,1,59.1,0,1,0,40,1,0,0,5.0,2024,4.0
496,Boubacar Kamara,Midfielder,Aston Villa,21,1773,3,30,0,0,45.7,0,1,0,44,0,0,0,5.0,2023,-24.0
497,Adam Smith,Defender,Bournemouth,19,1586,6,18,82,0,35.0,0,0,0,57,0,0,0,4.5,2025,18.0
498,Adam Smith,Defender,Bournemouth,25,2148,8,33,0,4,66.1,0,3,0,80,0,0,0,4.5,2024,11.0
499,Adam Smith,Defender,Bournemouth,34,2940,7,58,0,5,78.3,0,1,0,74,0,0,0,4.5,2023,-34.0
500,Ryan Sessegnon,Midfielder,Fulham,7,574,1,10,74,5,67.1,0,2,0,57,0,0,4,5.5,2025,25.0
501,Ryan Sessegnon,Midfielder,Fulham,9,805,1,15,0,0,54.3,0,1,0,35,0,0,2,5.5,2023,-11.0
502,Saša Lukić,Midfielder,Fulham,28,2348,4,37,244,1,91.0,0,2,0,56,0,0,0,5.0,2025,1.0
503,Saša Lukić,Midfielder,Fulham,13,1113,5,20,0,0,46.2,0,0,0,43,0,0,1,5.0,2024,-3.0
504,Saša Lukić,Midfielder,Fulham,4,406,0,10,0,0,8.2,0,0,0,15,0,0,0,5.0,2023,-14.0
505,Pau Torres,Defender,Aston Villa,23,2019,5,33,116,3,54.0,0,0,0,55,0,0,0,4.5,2025,1.0
506,Pau Torres,Defender,Aston Villa,27,2462,6,37,0,4,76.6,0,0,0,85,0,0,2,4.5,2024,-2.0
507,Reece James,Defender,Chelsea,12,1057,3,14,50,5,46.7,0,2,0,54,0,0,1,5.5,2025,23.0
508,Reece James,Defender,Chelsea,5,416,0,13,0,0,37.1,0,2,0,11,2,0,0,5.5,2024,-28.0
509,Reece James,Defender,Chelsea,14,1242,2,17,0,5,80.4,0,2,0,44,0,0,1,5.5,2023,10.0
510,Nicolás Domínguez,Midfielder,Nott'm Forest,23,1954,7,27,293,0,89.4,0,1,0,54,0,0,0,5.0,2025,30.0
511,Nicolás Domínguez,Midfielder,Nott'm Forest,19,1489,6,27,0,6,70.6,0,2,0,67,0,0,2,5.0,2024,14.0
512,Jean-Clair Todibo,Defender,West Ham,20,1824,5,33,168,1,44.5,0,0,0,54,0,0,0,4.5,2025,-2.0
513,Eddie Nketiah,Forward,Crystal Palace,9,1018,2,17,55,4,82.5,0,2,0,53,1,0,3,5.5,2025,8.0
514,Eddie Nketiah,Forward,Crystal Palace,10,1065,6,10,0,5,77.2,0,4,0,71,0,0,5,5.5,2024,47.0
515,Eddie Nketiah,Forward,Crystal Palace,9,1071,2,16,0,5,93.8,0,2,0,63,0,0,4,5.5,2023,15.0
516,Sander Berge,Midfielder,Fulham,26,2221,4,35,242,2,65.1,0,0,0,53,0,0,0,5.0,2025,4.0
517,Sander Berge,Midfielder,Fulham,34,3002,2,70,0,3,114.3,0,2,0,74,1,0,1,5.0,2024,-86.0
518,David Brooks,Midfielder,Bournemouth,9,941,3,12,80,2,80.4,0,1,0,52,0,0,2,5.0,2025,20.0
519,David Brooks,Midfielder,Bournemouth,2,271,0,7,0,2,31.4,0,1,0,23,0,0,1,5.0,2024,-1.0
521,Mats Wieffer,Midfielder,Brighton,10,1003,2,22,170,4,68.5,0,5,0,52,0,0,1,5.0,2025,15.0
522,João Pedro Ferreira da Silva,Midfielder,Nott'm Forest,5,835,1,16,99,0,64.6,0,2,0,52,0,0,3,5.5,2025,1.0
523,Santiago Ignacio Bueno,Defender,Wolves,18,1678,5,34,147,2,44.2,0,0,0,52,0,0,0,4.5,2025,-5.0
524,Santiago Ignacio Bueno,Defender,Wolves,9,819,0,18,0,0,20.3,0,0,0,13,0,0,0,4.5,2024,-26.0
525,Joachim Andersen,Defender,Fulham,30,2673,4,47,283,3,95.0,0,0,0,51,1,1,0,4.5,2025,-18.0
526,Joachim Andersen,Defender,Fulham,38,3416,10,58,0,12,143.1,0,3,0,121,0,0,2,4.5,2024,13.0
527,Joachim Andersen,Defender,Fulham,32,2782,8,37,0,1,109.8,0,0,0,80,0,2,1,4.5,2023,-11.0
528,Djed Spence,Defender,Spurs,19,1790,3,39,133,6,76.1,0,2,0,51,1,1,1,4.5,2025,-18.0
