F1,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year
204,Martin Ødegaard,Midfielder,Arsenal,35,3098,19,23,0,26,317,0,11,0,186,0,0,8,8,2024
205,Martin Ødegaard,Midfielder,Arsenal,37,3132,13,38,0,30,304.9,0,8,0,212,0,0,15,8,2023
206,Marc Guéhi,Defender,Crystal Palace,34,3059,11,42,268,11,131,0,2,0,116,1,3,3,4.5,2025
207,Marc Guéhi,Defender,Crystal Palace,23,2020,6,32,0,6,56.1,0,1,0,66,0,0,0,4.5,2024
208,Marc Guéhi,Defender,Crystal Palace,37,3330,9,46,0,2,106.7,0,0,0,95,0,1,1,4.5,2023
209,Bernd Leno,Goalkeeper,Fulham,38,3420,5,54,0,5,98.6,110,2,1,115,0,0,0,5,2025
210,Bernd Leno,Goalkeeper,Fulham,38,3420,10,61,0,15,106.7,134,0,0,133,0,1,0,5,2024
211,Bernd Leno,Goalkeeper,Fulham,36,3240,8,51,0,17,116.6,144,0,1,142,0,0,0,5,2023
212,Dan Burn,Defender,Newcastle,37,3330,13,45,286,9,115.8,0,1,0,115,0,2,1,5,2025
213,Dan Burn,Defender,Newcastle,32,2725,8,45,0,4,109.7,0,2,0,97,0,0,2,5,2024
214,Dan Burn,Defender,Newcastle,35,3109,14,30,0,6,105.3,0,0,0,129,0,0,1,5,2023
215,Jurriën Timber,Defender,Arsenal,27,2415,11,21,125,9,94.2,0,3,0,114,0,0,1,5.5,2025
216,Jurriën Timber,Defender,Arsenal,1,70,0,0,0,0,1.3,0,0,0,0,0,0,0,5.5,2024
217,Maxence Lacroix,Defender,Crystal Palace,35,3116,11,45,347,9,111.4,0,2,0,114,0,0,1,5,2025
218,Iliman Ndiaye,Midfielder,Everton,29,2426,15,24,265,21,142,0,0,0,114,0,0,9,6.5,2025
221,Emile Smith Rowe,Midfielder,Fulham,25,2036,7,28,135,15,124.4,0,3,0,114,0,0,6,6,2025
222,Emile Smith Rowe,Midfielder,Fulham,3,343,3,3,0,0,25.6,0,2,0,25,0,0,0,6,2024
223,Emile Smith Rowe,Midfielder,Fulham,0,161,0,5,0,0,16.7,0,2,0,18,0,0,0,6,2023
224,Alisson Becker,Goalkeeper,Liverpool,28,2508,10,29,0,9,64,78,0,0,112,0,0,0,5.5,2025
225,Alisson Becker,Goalkeeper,Liverpool,28,2520,8,30,0,9,68.1,83,0,0,107,0,0,0,5.5,2024
226,Alisson Becker,Goalkeeper,Liverpool,37,3330,14,43,0,15,97.6,107,1,1,162,0,0,0,5.5,2023
227,Emiliano Martínez Romero,Goalkeeper,Aston Villa,37,3195,8,47,0,6,86,100,0,1,111,1,0,0,5,2025
228,Emiliano Martínez Romero,Goalkeeper,Aston Villa,34,3015,8,48,0,19,82.2,95,0,0,115,0,2,0,5,2024
229,Emiliano Martínez Romero,Goalkeeper,Aston Villa,36,3139,11,38,0,15,85.7,98,0,1,135,0,1,0,5,2023
230,Dango Ouattara,Midfielder,Bournemouth,21,1998,7,23,196,7,187.2,0,4,0,111,0,0,7,6,2025
231,Dango Ouattara,Midfielder,Bournemouth,12,1214,5,24,0,3,87.8,0,2,0,56,0,0,1,6,2024
232,Dango Ouattara,Midfielder,Bournemouth,15,1239,1,23,0,4,82.5,0,3,0,49,0,0,1,6,2023
233,Ederson Santana de Moraes,Goalkeeper,Man City,26,2320,10,26,0,9,60.9,54,4,0,111,0,0,0,5.5,2025
234,Ederson Santana de Moraes,Goalkeeper,Man City,33,2785,11,27,0,5,56,57,0,0,112,0,0,0,5.5,2024
235,Ederson Santana de Moraes,Goalkeeper,Man City,35,3150,11,32,0,8,52.1,46,1,0,121,0,0,0,5.5,2023
236,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,29,2667,10,36,223,13,193.6,0,4,0,110,0,0,4,6.5,2025
237,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,29,2576,10,26,0,20,228,0,9,0,141,0,0,6,6.5,2024
238,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,24,2196,7,24,0,9,143.1,0,6,0,106,0,0,4,6.5,2023
239,Levi Samuels Colwill,Defender,Chelsea,35,3150,10,41,221,6,109.4,0,1,0,109,0,0,2,5,2025
240,Levi Samuels Colwill,Defender,Chelsea,20,1794,5,26,0,4,67.2,0,1,0,65,0,0,1,5,2024
241,Levi Samuels Colwill,Defender,Chelsea,13,1218,3,21,0,6,38.9,0,2,0,46,0,0,0,5,2023
242,Mateo Kovačić,Midfielder,Man City,25,2194,10,29,228,13,139.1,0,3,0,109,1,0,6,6,2025
243,Mateo Kovačić,Midfielder,Man City,16,1539,9,14,0,2,76,0,0,0,59,0,0,1,6,2024
244,Mateo Kovačić,Midfielder,Man City,17,1699,4,25,0,2,77.9,0,2,0,53,0,0,1,6,2023
245,Neco Williams,Defender,Nott'm Forest,28,2588,10,31,251,8,118,0,3,0,109,0,0,1,5,2025
246,Neco Williams,Defender,Nott'm Forest,18,1630,1,33,0,2,72.8,0,1,0,39,0,0,0,5,2024
247,Neco Williams,Defender,Nott'm Forest,20,1872,4,41,0,1,84,0,1,0,54,0,0,1,5,2023
248,Dominic Solanke-Mitchell,Forward,Spurs,25,2199,4,43,89,7,142.1,0,5,0,108,0,1,9,7.5,2025
249,Dominic Solanke-Mitchell,Forward,Spurs,37,3325,10,61,0,20,272.7,0,3,0,175,0,0,19,7.5,2024
250,Dominic Solanke-Mitchell,Forward,Spurs,32,2865,8,52,0,14,185.7,0,10,0,130,0,0,6,7.5,2023
251,Christian Nørgaard,Midfielder,Arsenal,34,2820,6,45,405,7,147.9,0,5,0,107,1,0,5,5.5,2025
252,Christian Nørgaard,Midfielder,Arsenal,30,2504,6,51,0,3,121.8,0,1,0,74,0,0,2,5.5,2024
253,Christian Nørgaard,Midfielder,Arsenal,21,1763,6,23,0,6,82.3,0,6,0,71,0,0,1,5.5,2023
254,Elliot Anderson,Midfielder,Nott'm Forest,33,2726,13,37,407,8,155.6,0,6,0,107,0,0,2,5.5,2025
255,Elliot Anderson,Midfielder,Nott'm Forest,10,1018,5,14,0,3,61.1,0,2,0,42,0,0,0,5.5,2024
256,Elliot Anderson,Midfielder,Nott'm Forest,3,395,1,7,0,2,41.5,0,1,0,30,0,0,0,5.5,2023
257,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal,31,2790,8,39,0,7,75.8,97,0,0,106,0,0,0,4.5,2025
259,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal,29,2565,9,33,0,15,73.3,91,0,0,118,0,0,0,4.5,2023
260,Antonee Robinson,Defender,Fulham,35,3166,5,49,289,8,185.5,0,10,0,106,0,0,0,5,2025
261,Antonee Robinson,Defender,Fulham,37,3266,9,60,0,8,158.6,0,6,0,104,0,2,0,5,2024
262,Antonee Robinson,Defender,Fulham,35,3088,9,44,0,5,106.3,0,2,0,93,0,0,0,5,2023
263,Ibrahima Konaté,Defender,Liverpool,30,2561,11,28,197,4,87.6,0,2,0,106,0,0,1,5.5,2025
264,Ibrahima Konaté,Defender,Liverpool,17,1570,6,19,0,2,58.5,0,0,0,56,1,0,0,5.5,2024
265,Ibrahima Konaté,Defender,Liverpool,17,1551,7,22,0,0,46.8,0,0,0,49,0,1,0,5.5,2023
266,Sávio Moreira de Oliveira,Midfielder,Man City,21,1760,8,25,119,15,177.3,0,11,0,106,0,0,1,7,2025
267,Alejandro Garnacho Ferreyra,Midfielder,Man Utd,23,2188,5,36,161,7,188.3,0,4,0,106,0,0,6,6.5,2025
268,Alejandro Garnacho Ferreyra,Midfielder,Man Utd,30,2564,8,39,0,7,224.3,0,7,0,131,0,0,7,6.5,2024
269,Alejandro Garnacho Ferreyra,Midfielder,Man Utd,5,557,0,13,0,0,50.7,0,2,0,39,0,0,3,6.5,2023
270,Sandro Tonali,Midfielder,Newcastle,28,2625,11,34,303,10,133.5,0,2,0,106,0,0,4,5.5,2025
271,Sandro Tonali,Midfielder,Newcastle,5,437,1,5,0,0,23.8,0,0,0,16,0,0,1,5.5,2024
272,Mohammed Kudus,Midfielder,Spurs,31,2589,7,46,189,5,177.5,0,4,0,106,1,0,5,6.5,2025
273,Mohammed Kudus,Midfielder,Spurs,27,2485,3,61,0,13,170.8,0,9,0,137,0,0,8,6.5,2024
274,James Tarkowski,Defender,Everton,33,2922,10,38,356,8,126.9,0,1,0,105,0,0,1,5.5,2025
275,James Tarkowski,Defender,Everton,38,3420,13,51,0,10,150.9,0,1,0,117,0,0,1,5.5,2024
276,James Tarkowski,Defender,Everton,38,3420,9,57,0,13,167,0,1,0,106,0,0,1,5.5,2023
277,Phil Foden,Midfielder,Man City,20,1771,6,24,91,10,164.2,0,3,0,105,0,0,7,8,2025
278,Phil Foden,Midfielder,Man City,33,2860,14,27,0,31,348.8,0,8,0,230,0,0,19,8,2024
279,Phil Foden,Midfielder,Man City,22,1832,5,16,0,15,210.9,0,7,0,142,0,0,11,8,2023
280,Tino Livramento,Defender,Newcastle,32,2835,10,40,182,6,110.1,0,1,0,105,0,0,0,5,2025
281,Tino Livramento,Defender,Newcastle,12,1302,2,27,0,4,58.4,0,0,0,45,0,0,1,5,2024
282,Tino Livramento,Defender,Newcastle,0,26,0,0,0,0,1.5,0,0,0,2,0,0,0,5,2023
283,Pedro Lomba Neto,Midfielder,Chelsea,24,2262,8,25,119,9,180,0,6,0,104,0,0,4,7,2025
284,Pedro Lomba Neto,Midfielder,Chelsea,18,1516,3,27,0,8,135.5,0,11,0,86,0,0,2,7,2024
285,Pedro Lomba Neto,Midfielder,Chelsea,13,962,5,15,0,0,60.9,0,2,0,37,0,0,0,7,2023
286,Ezri Konsa Ngoyo,Defender,Aston Villa,33,2936,8,45,176,10,82.4,0,0,0,103,0,0,2,4.5,2025
287,Ezri Konsa Ngoyo,Defender,Aston Villa,35,3069,7,54,0,7,95,0,1,0,91,0,0,1,4.5,2024
288,Ezri Konsa Ngoyo,Defender,Aston Villa,37,3322,12,45,0,6,75.7,0,0,0,110,0,0,0,4.5,2023
289,Bart Verbruggen,Goalkeeper,Brighton,36,3240,7,58,0,6,85.8,91,1,0,103,0,0,0,4.5,2025
290,Bart Verbruggen,Goalkeeper,Brighton,21,1890,4,28,0,7,54.3,65,0,0,68,0,0,0,4.5,2024
291,Callum Hudson-Odoi,Midfielder,Nott'm Forest,25,2190,11,23,139,7,151,0,3,0,103,0,0,5,6,2025
292,Callum Hudson-Odoi,Midfielder,Nott'm Forest,20,1846,2,41,0,14,145,0,2,0,109,0,0,8,6,2024
294,Yankuba Minteh,Midfielder,Brighton,20,1831,4,33,172,8,159.1,0,5,0,102,0,0,6,6,2025
295,Nick Pope,Goalkeeper,Newcastle,28,2520,8,35,0,2,67.4,88,0,1,102,0,0,0,5,2025
296,Nick Pope,Goalkeeper,Newcastle,15,1345,6,16,0,1,32.7,43,0,0,57,0,0,0,5,2024
297,Nick Pope,Goalkeeper,Newcastle,37,3261,14,32,0,14,72.9,87,0,2,157,1,0,0,5,2023
298,Lewis Hall,Defender,Newcastle,24,2188,8,31,145,11,125.3,0,7,0,102,0,0,0,5.5,2025
299,Lewis Hall,Defender,Newcastle,8,773,2,12,0,3,34.9,0,0,0,38,0,0,1,5.5,2024
300,Lewis Hall,Defender,Newcastle,8,653,1,11,0,3,48.8,0,0,0,19,0,0,0,5.5,2023
301,Joelinton Cássio Apolinário de Lira,Midfielder,Newcastle,29,2394,10,32,282,11,132.7,0,4,0,99,0,0,4,6,2025
302,Joelinton Cássio Apolinário de Lira,Midfielder,Newcastle,15,1276,3,23,0,3,81.6,0,1,0,45,0,0,2,6,2024
303,Joelinton Cássio Apolinário de Lira,Midfielder,Newcastle,30,2660,11,26,0,10,167.3,0,5,0,115,0,0,6,6,2023
304,Moisés Caicedo Corozo,Midfielder,Chelsea,38,3351,12,42,455,4,129.2,0,4,0,98,0,0,1,5.5,2025
305,Moisés Caicedo Corozo,Midfielder,Chelsea,33,2865,7,50,0,6,108.2,0,3,0,84,0,0,1,5.5,2024
306,Moisés Caicedo Corozo,Midfielder,Chelsea,34,3138,10,47,0,0,148.2,0,1,0,79,0,0,1,5.5,2023
307,Pedro Porro Sauceda,Defender,Spurs,28,2606,6,47,192,6,191.2,0,6,0,98,0,0,2,5.5,2025
308,Pedro Porro Sauceda,Defender,Spurs,35,3090,7,54,0,20,208.5,0,8,0,136,0,0,3,5.5,2024
309,Pedro Porro Sauceda,Defender,Spurs,13,1132,2,26,0,5,90.9,0,3,0,59,0,0,3,5.5,2023
310,Kai Havertz,Forward,Arsenal,21,1872,7,20,99,14,144.8,0,3,0,97,0,0,9,7.5,2025
311,Kai Havertz,Forward,Arsenal,30,2627,16,22,0,15,240.2,0,10,0,180,0,0,13,7.5,2024
312,Kai Havertz,Forward,Arsenal,30,2565,9,31,0,13,202.5,0,1,0,102,0,0,7,7.5,2023
313,İlkay Gündoğan,Midfielder,Man City,25,2218,10,28,176,5,144.2,0,7,0,97,0,0,1,6.5,2025
314,İlkay Gündoğan,Midfielder,Man City,27,2351,10,20,0,9,182.7,0,6,0,132,0,0,8,6.5,2023
316,Georginio Rutter,Midfielder,Brighton,19,1651,6,29,130,1,103,0,6,0,95,0,0,5,6,2025
317,Georginio Rutter,Midfielder,Brighton,1,263,0,9,0,0,15.5,0,1,0,15,0,0,0,6,2023
318,Adama Traoré Diarra,Midfielder,Fulham,18,1756,3,28,112,8,144.6,0,8,0,95,0,0,2,5.5,2025
319,Adama Traoré Diarra,Midfielder,Fulham,1,363,0,13,0,1,41.3,0,3,0,36,0,0,2,5.5,2024
320,Adama Traoré Diarra,Midfielder,Fulham,12,1477,2,30,0,0,91.7,0,4,0,66,0,0,2,5.5,2023
321,Diogo Dalot Teixeira,Defender,Man Utd,31,2812,8,45,178,9,118.6,0,4,0,95,0,0,0,4.5,2025
322,Diogo Dalot Teixeira,Defender,Man Utd,35,3174,8,55,0,13,154.4,0,3,0,111,1,0,2,4.5,2024
323,Diogo Dalot Teixeira,Defender,Man Utd,24,2152,10,34,0,19,118.8,0,2,0,102,0,0,1,4.5,2023
327,Illia Zabarnyi,Defender,Bournemouth,35,3109,8,42,292,8,92,0,1,0,94,1,0,0,5,2025
328,Illia Zabarnyi,Defender,Bournemouth,37,3330,8,67,0,3,91.5,0,0,0,84,0,0,1,5,2024
329,Illia Zabarnyi,Defender,Bournemouth,3,297,0,5,0,0,5.8,0,0,0,7,0,0,0,5,2023
330,Keane Lewis-Potter,Defender,Brentford,36,3092,8,49,146,0,139.9,0,5,0,94,0,0,1,5,2025
331,Keane Lewis-Potter,Defender,Brentford,15,1428,6,29,0,1,105.6,0,2,0,73,0,0,3,5,2024
332,Keane Lewis-Potter,Defender,Brentford,3,313,0,4,0,0,21.9,0,1,0,14,0,0,0,5,2023
333,Trevoh Chalobah,Defender,Chelsea,23,1969,6,25,176,11,84.6,0,1,0,93,0,0,3,5,2025
334,Trevoh Chalobah,Defender,Chelsea,10,949,3,14,0,4,33.4,0,0,0,39,0,0,1,5,2024
335,Trevoh Chalobah,Defender,Chelsea,18,1601,5,24,0,1,50.3,0,0,0,49,0,1,0,5,2023
336,Dwight McNeil,Midfielder,Everton,15,1366,5,24,97,9,123.3,0,8,0,93,0,0,4,6,2025
337,Dwight McNeil,Midfielder,Everton,33,2891,12,39,0,8,212.7,0,8,0,124,0,0,3,6,2024
338,Dwight McNeil,Midfielder,Everton,28,2490,5,46,0,14,195.8,0,5,0,126,0,0,7,6,2023
339,José Malheiro de Sá,Goalkeeper,Wolves,29,2610,7,48,0,4,63.4,71,0,2,93,0,0,0,4.5,2025
340,José Malheiro de Sá,Goalkeeper,Wolves,35,3037,4,58,0,8,101.6,134,1,0,107,0,0,0,4.5,2024
341,José Malheiro de Sá,Goalkeeper,Wolves,36,3240,11,55,0,18,86.4,108,0,2,148,0,0,0,4.5,2023
342,Mikel Merino Zazón,Midfielder,Arsenal,17,1575,4,17,175,8,123.3,0,2,0,92,1,0,7,6,2025
345,Ryan Gravenberch,Midfielder,Liverpool,37,3160,14,35,389,1,114.7,0,4,0,92,1,0,0,5.5,2025
346,Ryan Gravenberch,Midfielder,Liverpool,12,1110,3,17,0,3,61.5,0,0,0,45,0,0,1,5.5,2024
347,Andrew Robertson,Defender,Liverpool,29,2479,10,32,106,4,124.4,0,1,0,91,1,1,0,6,2025
348,Andrew Robertson,Defender,Liverpool,18,1689,3,22,0,8,171.9,0,2,0,76,0,0,3,6,2024
349,Andrew Robertson,Defender,Liverpool,29,2579,9,34,0,10,162.3,0,8,0,121,0,0,0,6,2023
350,Rúben dos Santos Gato Alves Dias,Defender,Man City,25,2269,11,21,127,7,80.2,0,0,0,90,0,1,0,5.5,2025
351,Rúben dos Santos Gato Alves Dias,Defender,Man City,28,2557,9,28,0,3,101.5,0,0,0,88,0,1,0,5.5,2024
352,Rúben dos Santos Gato Alves Dias,Defender,Man City,22,1997,9,16,0,1,62.5,0,0,0,80,0,0,0,5.5,2023
353,Jean-Ricner Bellegarde,Midfielder,Wolves,20,1666,6,31,131,5,97.2,0,7,0,90,0,0,2,5.5,2025
354,Jean-Ricner Bellegarde,Midfielder,Wolves,10,948,0,24,0,1,52.2,0,2,0,45,1,0,2,5.5,2024
355,Lucas Digne,Defender,Aston Villa,28,2348,6,36,178,7,120.7,0,5,0,89,0,0,0,4.5,2025
356,Lucas Digne,Defender,Aston Villa,27,2405,6,41,0,5,125.1,0,4,0,85,0,0,1,4.5,2024
357,Lucas Digne,Defender,Aston Villa,18,1492,3,25,0,4,68.1,0,0,0,50,0,1,1,4.5,2023
358,Jack Hinshelwood,Midfielder,Brighton,22,1839,6,30,146,8,97,0,3,0,89,0,0,5,5.5,2025
359,Jack Hinshelwood,Midfielder,Brighton,8,866,2,17,0,5,55,0,0,0,42,0,0,3,5.5,2024
360,Jack Hinshelwood,Midfielder,Brighton,0,1,0,0,0,0,0.4,0,0,0,1,0,0,0,5.5,2023
361,Idrissa Gana Gueye,Midfielder,Everton,35,3063,12,39,418,5,96.6,0,3,0,89,0,0,0,5.5,2025
362,Idrissa Gana Gueye,Midfielder,Everton,24,1885,7,25,0,10,79.7,0,0,0,73,0,0,4,5.5,2024
363,Idrissa Gana Gueye,Midfielder,Everton,32,2577,8,45,0,1,70.6,0,1,0,66,0,0,0,5.5,2023
364,Jarrad Branthwaite,Defender,Everton,28,2509,9,28,274,3,81.3,0,1,0,88,0,0,0,5.5,2025
365,Jarrad Branthwaite,Defender,Everton,35,3116,12,44,0,10,104.3,0,1,0,124,0,0,3,5.5,2024
367,Jérémy Doku,Midfielder,Man City,16,1506,8,14,101,3,150,0,6,0,88,0,0,3,6.5,2025
368,Jérémy Doku,Midfielder,Man City,18,1585,1,19,0,13,203.9,0,10,0,98,0,0,3,6.5,2024
369,Noussair Mazraoui,Defender,Man Utd,34,2836,7,43,241,5,107.5,0,1,0,88,0,0,0,5,2025
370,Marcus Tavernier,Midfielder,Bournemouth,20,1932,4,29,179,4,155.4,0,7,0,87,0,0,3,5.5,2025
371,Marcus Tavernier,Midfielder,Bournemouth,25,2118,8,38,0,5,157.8,0,4,0,89,0,0,3,5.5,2024
372,Marcus Tavernier,Midfielder,Bournemouth,19,1740,5,37,0,12,124.2,0,4,0,94,0,0,5,5.5,2023
373,Jan Paul van Hecke,Defender,Brighton,33,2960,7,47,230,7,118.3,0,1,0,87,1,0,1,4.5,2025
374,Jan Paul van Hecke,Defender,Brighton,26,2368,5,38,0,3,98.5,0,0,0,61,0,0,0,4.5,2024
375,Jan Paul van Hecke,Defender,Brighton,3,291,0,7,0,0,8.8,0,0,0,6,0,0,0,4.5,2023
376,Carlos Baleba,Midfielder,Brighton,31,2660,8,40,376,7,105.2,0,1,0,87,1,0,3,5,2025
377,Carlos Baleba,Midfielder,Brighton,15,1314,2,28,0,0,38.8,0,0,0,34,0,0,0,5,2024
378,Norberto Bercique Gomes Betuncal,Forward,Everton,15,1521,4,24,84,11,119.5,0,0,0,87,0,0,8,5.5,2025
379,Norberto Bercique Gomes Betuncal,Forward,Everton,9,943,2,20,0,3,71.3,0,0,0,50,0,0,3,5.5,2024
380,Curtis Jones,Midfielder,Liverpool,19,1702,6,27,160,4,113.6,0,5,0,87,1,0,3,5.5,2025
381,Curtis Jones,Midfielder,Liverpool,14,1156,2,19,0,2,57,0,1,0,40,1,0,1,5.5,2024
382,Curtis Jones,Midfielder,Liverpool,12,1029,4,15,0,4,75,0,1,0,52,0,0,3,5.5,2023
383,João Victor Gomes da Silva,Midfielder,Wolves,35,2975,6,59,377,7,117.3,0,1,0,87,1,0,3,5.5,2025
384,João Victor Gomes da Silva,Midfielder,Wolves,32,2646,4,51,0,3,106.1,0,2,0,75,0,0,2,5.5,2024
385,João Victor Gomes da Silva,Midfielder,Wolves,7,649,2,18,0,2,25.8,0,0,0,21,0,0,1,5.5,2023
386,Rodrigo Muniz Carvalho,Forward,Fulham,8,943,2,17,45,14,95.4,0,1,0,86,0,0,8,5.5,2025
387,Rodrigo Muniz Carvalho,Forward,Fulham,18,1589,6,27,0,12,148.2,0,2,0,97,0,0,9,5.5,2024
389,Jadon Sancho,Midfielder,Man Utd,19,1754,7,24,121,3,127.5,0,5,0,86,0,0,3,6,2025
390,Jadon Sancho,Midfielder,Man Utd,0,76,0,1,0,0,3.6,0,0,0,3,0,0,0,6,2024
391,Jadon Sancho,Midfielder,Man Utd,21,1683,13,18,0,8,143.2,0,3,0,105,0,0,6,6,2023
392,Lewis Cook,Midfielder,Bournemouth,32,2976,5,44,386,3,144.9,0,4,0,82,1,0,1,5,2025
393,Lewis Cook,Midfielder,Bournemouth,32,2787,8,51,0,5,127.2,0,3,0,77,1,0,0,5,2024
394,Lewis Cook,Midfielder,Bournemouth,18,1712,3,39,0,1,71.2,0,2,0,51,0,0,0,5,2023
395,Maximilian Kilman,Defender,West Ham,38,3348,6,62,327,5,118.8,0,1,0,82,0,0,0,4.5,2025
396,Maximilian Kilman,Defender,West Ham,38,3420,5,65,0,3,130.2,0,0,0,82,0,0,2,4.5,2024
397,Maximilian Kilman,Defender,West Ham,37,3307,11,56,0,12,93.2,0,1,0,109,0,0,0,4.5,2023
398,Andreas Hoelgebaum Pereira,Midfielder,Fulham,25,2004,5,32,150,2,149,0,6,0,81,0,0,2,5.5,2025
399,Andreas Hoelgebaum Pereira,Midfielder,Fulham,34,2611,14,40,0,7,217.8,0,9,0,127,0,0,3,5.5,2024
400,Andreas Hoelgebaum Pereira,Midfielder,Fulham,33,2696,8,40,0,9,189.3,0,10,0,123,0,0,4,5.5,2023
401,Jack Harrison,Midfielder,Leeds,24,2068,7,27,148,4,108.6,0,3,0,81,0,0,1,5.5,2025
402,Jack Harrison,Midfielder,Leeds,25,2212,11,26,0,5,114.3,0,3,0,92,0,0,3,5.5,2024
403,Jack Harrison,Midfielder,Leeds,34,2707,6,55,0,15,192,0,8,0,134,0,1,5,5.5,2023
404,Matheus Nunes,Defender,Man City,19,1670,9,19,84,6,99.9,0,7,0,81,0,0,1,5.5,2025
405,Matheus Nunes,Defender,Man City,9,831,2,13,0,1,51.8,0,2,0,32,1,0,0,5.5,2024
406,Matheus Nunes,Defender,Man City,30,2467,11,38,0,5,109.3,0,1,0,80,1,0,1,5.5,2023
407,Lucas Tolentino Coelho de Lima,Midfielder,West Ham,27,2374,4,50,271,5,132.6,0,1,0,80,0,0,4,6,2025
408,Lucas Tolentino Coelho de Lima,Midfielder,West Ham,31,2627,4,52,0,7,163.7,0,6,0,100,0,0,4,6,2024
409,Lucas Tolentino Coelho de Lima,Midfielder,West Ham,27,2154,6,39,0,8,145.4,0,5,0,98,0,0,4,6,2023
410,Toti Gomes,Defender,Wolves,30,2613,8,45,250,8,86.5,0,1,0,79,0,0,0,4.5,2025
411,Toti Gomes,Defender,Wolves,31,2771,4,49,0,6,83.7,0,4,0,82,0,0,1,4.5,2024
